SeqNo,RepoName,WflowName,Properties_file,Actionname,SH_QL_file,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,Arg8,Arg9,Arg10,Arg11,Arg12,Arg13,Arg14,Arg15,Arg16,Arg17,Arg18,Arg19,Arg20,Arg21,Arg22,Arg23,Arg24,Arg25,Arg26,Arg27,Arg28,Arg29,Arg30,Arg31,Arg32,Arg33,Arg34,Arg35,Argname1,Argvalue1,Argname2,Argvalue2,Argname3,Argvalue3,Argname4,Argvalue4,Argname5,Argvalue5,Argname6,Argvalue6,Argname7,Argvalue7,Argname8,Argvalue8,Argname9,Argvalue9,Argname10,Argvalue10,Argname11,Argvalue11,Argname12,Argvalue12,Argname13,Argvalue13,Argname14,Argvalue14,Argname15,Argvalue15,Pname1,Pvalue1,Pname2,Pvalue2,Pname3,Pvalue3,Pname4,Pvalue4,Pname5,Pvalue5,Pname6,Pvalue6,Pname7,Pvalue7,Pname8,Pvalue8,Pname9,Pvalue9,Pname10,Pvalue10,Pname11,Pvalue11,Pname12,Pvalue12,Pname13,Pvalue13,Pname14,Pvalue14,Pname15,Pvalue15,Pname16,Pvalue16,Pname17,Pvalue17,Pname18,Pvalue18,Pname19,Pvalue19,Pname20,Pvalue20,Pname21,Pvalue21,Pname22,Pvalue22,Pname23,Pvalue23,Pname24,Pvalue24,Pname25,Pvalue25,Pname26,Pvalue26,Pname27,Pvalue27,Pname28,Pvalue28,Pname29,Pvalue29,Pname30,Pvalue30,File1,File2,File3,File4,File5,File6,File7,File8,File9,File10,
56,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,CleanUp_AXT_Staging_Table,${path_hdfs_workflow_root}/drop_staging_partitions.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table_name,${stg_table},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,CleanUp_AXT_Mntr_Staging_Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Get_CRC4T_Data,run4G.sh,${spark_master},${spark_deploy_mode},${spark_max_executors},${spark_driver_memory},${spark_executor_memory},${spark_executor_cores},${output},${hive_database_name},${kerberos_keytab_filename},${kerberos_principal},${current_user},${lkb_days},${RAW_source_table},${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_hdfs_project}/run4G.sh,${path_hdfs_project}/loader.py,${path_hdfs_project}/4gscript.sql,${kerberos_keytab_file},,,,,,,
59,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Load_To_Master,${path_hdfs_project}/loadToMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},mstr_table_name,${mstr_tbl},stg_table_name,${stg_table},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Load_Daily_Mntr_Stg_Load,${path_hdfs_project}/AXT_Monitoring_stage.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table,${stg_table},monitoring_staging,${monitoring_staging},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Load_Daily_Mntr_Master_Load,${path_hdfs_project}/LoadAXTMonitorMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},monitoring_master,${monitoring_master},monitoring_staging,${monitoring_staging},currentUser,${current_user},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Load_VHA_Daily_Load,${path_hdfs_project}/VHAscript.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,AXTsummary_Trigger_File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Capture_Success_reccalc,${path_hdfs_project}/success_reccalc.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},current_user,${kerberos_user_name},workflowId,${wf:id()},workflowName,${workflow},mstr_tbl,${mstr_tbl},stg_table_name,${stg_table},reccalc_file_type,${reccalc_file_type},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Capture_Failure_reccalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reccalcClass,${reccalc_calculator_class},fileType,${reccalc_file_type},workflowId,${wf:id()},workflowName,${workflow},userName,${current_user},workflowFailure,True,failedStep,${wf:lastErrorNode()},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_custom_jar_lib}/prg1Common.jar,${path_custom_jar_lib}/lib/itcore.jar,${environment_hdfs_folder}/Workflow/KEYS/prg1_jaas.conf,${kerberos_keytab_file},,,,,,,
66,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSU_WF.properties,Failure_Notification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,CleanUp_AXT_Staging_Table,${path_hdfs_workflow_root}/drop_staging_partitions.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table_name,${stg_table},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,CleanUp_AXT_Mntr_Staging_Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Get_CRC4T_Data,run4G.sh,${spark_master},${spark_deploy_mode},${spark_max_executors},${spark_driver_memory},${spark_executor_memory},${spark_executor_cores},${output},${hive_database_name},${kerberos_keytab_filename},${kerberos_principal},${current_user},${lkb_days},${RAW_source_table},${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_hdfs_project}/run4G.sh,${path_hdfs_project}/loader.py,${path_hdfs_project}/4gscript.sql,${kerberos_keytab_file},,,,,,,
70,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Load_To_Master,${path_hdfs_project}/loadToMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},mstr_table_name,${mstr_tbl},stg_table_name,${stg_table},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Load_Daily_Mntr_Stg_Load,${path_hdfs_project}/AXT_Monitoring_stage.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table,${stg_table},monitoring_staging,${monitoring_staging},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Load_Daily_Mntr_Master_Load,${path_hdfs_project}/LoadAXTMonitorMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},monitoring_master,${monitoring_master},monitoring_staging,${monitoring_staging},currentUser,${current_user},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Load_VHA_Daily_Load,${path_hdfs_project}/VHAscript.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,AXTsummary_Trigger_File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Capture_Success_reccalc,${path_hdfs_project}/success_reccalc.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},current_user,${kerberos_user_name},workflowId,${wf:id()},workflowName,${workflow},mstr_tbl,${mstr_tbl},stg_table_name,${stg_table},reccalc_file_type,${reccalc_file_type},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Capture_Failure_reccalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reccalcClass,${reccalc_calculator_class},fileType,${reccalc_file_type},workflowId,${wf:id()},workflowName,${workflow},userName,${current_user},workflowFailure,True,failedStep,${wf:lastErrorNode()},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_custom_jar_lib}/prg1Common.jar,${path_custom_jar_lib}/lib/itcore.jar,${environment_hdfs_folder}/Workflow/KEYS/prg1_jaas.conf,${kerberos_keytab_file},,,,,,,
77,repo,LoadAXTSummary,f1/f2/repo/Workflows/LoadAXTSummary/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Incremental_PSA_WF.properties,Failure_Notification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,CleanUp_AXT_PJ1_Staging_Table,${path_hdfs_workflow_root}/drop_staging_partitions.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,CleanUp_AXT_Pj1_Mntr_Staging_Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Get_AXT_PJ1_Data,run.sh,${spark_master},${spark_deploy_mode},${spark_max_executors},${spark_driver_memory},${spark_executor_memory},${spark_executor_cores},${output},${hive_database_name},${kerberos_keytab_filename},${kerberos_principal},${current_user},${lkb_days},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_hdfs_project}/run.sh,${path_hdfs_project}/loader.py,${path_hdfs_project}/4gscript.sql,${kerberos_keytab_file},,,,,,,
81,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Load_To_Master_AXT_PJ1,${path_hdfs_project}/loadToMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},lkb_days,${lkb_days},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Load_Daily_Mntr_Stg_Load,${path_hdfs_project}/AXT_PJ1_Monitoring_stage.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table,${stg_table},monitoring_staging,${monitoring_staging},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Load_Daily_Mntr_Master_Load,${path_hdfs_project}/LoadAXTMonitorMasterPJ1.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},monitoring_master,${monitoring_master},monitoring_staging,${monitoring_staging},currentUser,${current_user},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,AXTsummary_Pj1_Trigger_File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Capture_Success_reccalc,${path_hdfs_project}/success_reccalc.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},current_user,${kerberos_user_name},workflowId,${wf:id()},workflowName,${workflow},mstr_tbl,${mstr_tbl},reccalc_file_type,${reccalc_file_type},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Capture_Failure_reccalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reccalcClass,${reccalc_calculator_class},fileType,${reccalc_file_type},workflowId,${wf:id()},workflowName,${workflow},userName,${current_user},workflowFailure,True,failedStep,${wf:lastErrorNode()},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_custom_jar_lib}/prg1Common.jar,${path_custom_jar_lib}/lib/itcore.jar,${environment_hdfs_folder}/Workflow/KEYS/prg1_jaas.conf,${kerberos_keytab_file},,,,,,,
87,repo,LoadAXTSummary_PJ1,f1/f2/repo/Workflows/LoadAXTSummary_PJ1/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_PJ1_WF.properties,Failure_Notification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,CleanUp_AXT_Staging_Table,${path_hdfs_workflow_root}/drop_staging_partitions.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table_name,${stg_table},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,CleanUp_AXT_Mntr_Staging_Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Get_CRC4T_Data_AXT_Reload,AXTReloadtransform.sh,${spark_master},${spark_deploy_mode},${spark_max_executors},${spark_driver_memory},${spark_executor_memory},${spark_executor_cores},${output},${hive_database_name},${kerberos_keytab_filename},${kerberos_principal},${current_user},${lkb_days},${source_table},${current_date},${start_date},${assembly_jar},${hive_jdbc_url},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_hdfs_project}/AXTReloadtransform.sh,${path_hdfs_project}/AXTReloadtransform.py,${path_hdfs_project}/AXTReloadtransform_script.sql,${kerberos_keytab_file},,,,,,,
91,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Load_To_Master,${path_hdfs_project}/loadToMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},mstr_table_name,${mstr_tbl},stg_table_name,${stg_table},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Load_Daily_Mntr_Stg_Load,${path_hdfs_project}/AXT_Monitoring_stage.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table,${stg_table},monitoring_staging,${monitoring_staging},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Load_Daily_Mntr_Master_Load,${path_hdfs_project}/LoadAXTMonitorMaster.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},monitoring_master,${monitoring_master},monitoring_staging,${monitoring_staging},currentUser,${current_user},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Load_VHA_Daily_Load,${path_hdfs_project}/VHAscript.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},lkb_days,${lkb_days},current_date,${current_date},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,AXTsummary_Trigger_File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_WF.properties,Capture_Failure_reccalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reccalcClass,${reccalc_calculator_class},fileType,${reccalc_file_type},workflowId,${wf:id()},workflowName,${workflow},userName,${current_user},workflowFailure,True,failedStep,${wf:lastErrorNode()},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${path_custom_jar_lib}/prg1Common.jar,${path_custom_jar_lib}/lib/itcore.jar,${environment_hdfs_folder}/Workflow/KEYS/prg1_jaas.conf,${kerberos_keytab_file},,,,,,,
97,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_PRS_WF.properties,CleanUp_AXT_Staging_Table,${path_hdfs_workflow_root}/drop_staging_partitions.ql,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db_name,${hive_database_name},stg_table_name,${stg_table},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,repo,LoadAXTSummary_Reload,f1/f2/repo/Workflows/LoadAXTSummary_Reload/Properties/DEV/prg1dataprogRepository_LoadAXTSummary_Reload_History_PRS_WF.properties,CleanUp_AXT_Mntr_Staging_Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
